path,sha256,size_bytes,kind,status,antenna,port,point_count,declared_frequency_unit,raw_frequency_min,raw_frequency_max,source_sha256_at_17f0a758,provenance_note,validation_flags
Results/Corrupt_Artifacts/ANT1481H_P2.jpg.nul,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,47411,corrupt_smith_chart_bytes,quarantined_corrupt,ANT1481H,P2,,,,,c45def2ddb7d711e9ba501bac07e065ae54816177a29535b4120b2d8715d484b,Moved from Results/Smith_Charts/ANT1481H_P2.jpg and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/Corrupt_Artifacts/ANT1481H_P2.s1p.nul,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,8167,corrupt_touchstone_bytes,quarantined_corrupt,ANT1481H,P2,,,,,913127fb4076378ce8f372101db3c72e51b8477660c14f272251956233b4a089,Moved from Results/Touchstone_Files/ANT1481H_P2.s1p and renamed .nul; all legacy bytes preserved from 17f0a758.,all_NUL_bytes;bytes_preserved_from_17f0a758;excluded_from_canonical_dataset;invalid_original_format
Results/S11_Plots/S11_ANT1348H_P1.png,aa3b472477e9853dfdd98083587118c64a4f0db2c6e9bd83685995014ef9f689,28552,s11_plot_png,reference_plot_valid,ANT1348H,P1,,,,,aa3b472477e9853dfdd98083587118c64a4f0db2c6e9bd83685995014ef9f689,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1348H_P2.png,4009eff4d934250ab721b0dfe7e048fe6199dae42023c459b254cbd21589cabf,25651,s11_plot_png,reference_plot_valid,ANT1348H,P2,,,,,4009eff4d934250ab721b0dfe7e048fe6199dae42023c459b254cbd21589cabf,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1349H_P1.png,e1d54096fae642d369d23e9b13fbb84017dfb3779daf2cfdb3e6946aa5153cf6,28896,s11_plot_png,reference_plot_valid,ANT1349H,P1,,,,,e1d54096fae642d369d23e9b13fbb84017dfb3779daf2cfdb3e6946aa5153cf6,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1349H_P2.png,a05ae2f95709b69c5b5c80b55b0ec23d1c6f56400564c2df1fddc8646f2061ee,27940,s11_plot_png,reference_plot_valid,ANT1349H,P2,,,,,a05ae2f95709b69c5b5c80b55b0ec23d1c6f56400564c2df1fddc8646f2061ee,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1350H_P1.png,d7ff1cee4d83e55c299c04e005b1c919f4c41f8488c1564da6ec6c9355561915,27830,s11_plot_png,reference_plot_valid,ANT1350H,P1,,,,,d7ff1cee4d83e55c299c04e005b1c919f4c41f8488c1564da6ec6c9355561915,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1350H_P2.png,5aa940d0a068a8850c4d3587010749cef4c4b2bfa2b1cec98836c568564a5e76,24865,s11_plot_png,reference_plot_valid,ANT1350H,P2,,,,,5aa940d0a068a8850c4d3587010749cef4c4b2bfa2b1cec98836c568564a5e76,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1351H_Covered_P1.png,ff7ce9dec8325ffd2a8eda862cca05e2cacf9f2e9d59f407f48cd6b2be43365c,29439,s11_plot_png,reference_plot_valid,ANT1351H,P1,,,,,ff7ce9dec8325ffd2a8eda862cca05e2cacf9f2e9d59f407f48cd6b2be43365c,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1351H_Covered_P2.png,b1d49d0cfb3b36b0d1dcaff5ecdc4979bbaeea9a79d76dc0bfb0c5c4ff54b7b5,28577,s11_plot_png,reference_plot_valid,ANT1351H,P2,,,,,b1d49d0cfb3b36b0d1dcaff5ecdc4979bbaeea9a79d76dc0bfb0c5c4ff54b7b5,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1351H_P1.png,af61be213aa79a71e5ba9dc1cb20937f086c03cb55bac218af1c6f8aa235a547,27582,s11_plot_png,reference_plot_valid,ANT1351H,P1,,,,,af61be213aa79a71e5ba9dc1cb20937f086c03cb55bac218af1c6f8aa235a547,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
Results/S11_Plots/S11_ANT1351H_P2.png,b1f38b444c018ef26ffdbeb27cc211c3ea2302e4e59cc81861d45b0af5782e73,24820,s11_plot_png,reference_plot_valid,ANT1351H,P2,,,,,b1f38b444c018ef26ffdbeb27cc211c3ea2302e4e59cc81861d45b0af5782e73,Preserved from 17f0a758.,valid_png_container;legacy_axis_label_dBm;unchanged_from_17f0a758
